Date,Last Price, Volume 
3/09/2021,733.57,"15,271,045.00"
2/09/2021,732.39,"12,796,739.00"
1/09/2021,734.09,"13,204,335.00"
31/08/2021,735.72,"20,855,436.00"
30/08/2021,730.91,"18,604,220.00"
27/08/2021,711.92,"13,833,763.00"
26/08/2021,701.16,"13,214,292.00"
25/08/2021,711.2,"12,645,562.00"
24/08/2021,708.49,"13,083,071.00"
23/08/2021,706.3,"20,264,860.00"
20/08/2021,680.26,"14,841,865.00"
19/08/2021,673.47,"14,313,486.00"
18/08/2021,688.99,"20,349,376.00"
17/08/2021,665.71,"23,721,280.00"
16/08/2021,686.17,"23,103,304.00"
13/08/2021,717.17,"16,731,467.00"
12/08/2021,722.25,"17,681,686.00"
11/08/2021,707.82,"9,800,558.00"
10/08/2021,709.99,"13,432,305.00"
9/08/2021,713.76,"14,715,349.00"
6/08/2021,699.1,"15,623,049.00"
5/08/2021,714.63,"12,919,637.00"
4/08/2021,710.92,"17,002,648.00"
3/08/2021,709.74,"21,620,252.00"
2/08/2021,709.67,"33,615,764.00"
30/07/2021,687.2,"29,656,412.00"
29/07/2021,677.35,"30,394,636.00"
28/07/2021,646.98,"16,006,596.00"
27/07/2021,644.78,"32,813,290.00"
26/07/2021,657.62,"25,336,556.00"
23/07/2021,643.38,"14,604,944.00"
22/07/2021,649.26,"15,105,727.00"
21/07/2021,655.29,"13,953,338.00"
20/07/2021,660.5,"15,487,127.00"
19/07/2021,646.22,"21,297,090.00"
16/07/2021,644.22,"16,370,970.00"
15/07/2021,650.6,"20,209,572.00"
14/07/2021,653.38,"21,641,190.00"
13/07/2021,668.54,"20,966,092.00"
12/07/2021,685.7,"25,927,042.00"
9/07/2021,656.95,"18,140,548.00"
8/07/2021,652.81,"22,773,316.00"
7/07/2021,644.65,"18,791,960.00"
6/07/2021,659.58,"23,284,450.00"
2/07/2021,678.9,"27,097,374.00"
1/07/2021,677.92,"18,634,522.00"
30/06/2021,679.7,"18,924,862.00"
29/06/2021,680.76,"17,381,312.00"
28/06/2021,688.72,"21,628,160.00"
25/06/2021,671.87,"32,496,708.00"
24/06/2021,679.82,"45,982,384.00"
23/06/2021,656.57,"31,099,228.00"
22/06/2021,623.71,"19,158,892.00"
21/06/2021,620.83,"24,812,740.00"
18/06/2021,623.31,"24,560,904.00"
17/06/2021,616.6,"22,701,350.00"
16/06/2021,604.87,"22,144,128.00"
15/06/2021,599.36,"17,764,144.00"
14/06/2021,617.69,"20,423,984.00"
11/06/2021,609.89,"16,205,303.00"
10/06/2021,610.12,"23,919,606.00"
9/06/2021,598.78,"16,584,566.00"
8/06/2021,603.59,"26,053,404.00"
7/06/2021,605.13,"22,543,682.00"
4/06/2021,599.05,"24,036,896.00"
3/06/2021,572.84,"30,111,892.00"
2/06/2021,605.12,"23,302,780.00"
1/06/2021,623.9,"18,084,890.00"
28/05/2021,625.22,"22,737,038.00"
27/05/2021,630.85,"26,370,592.00"
26/05/2021,619.13,"28,639,304.00"
25/05/2021,604.69,"28,005,932.00"
24/05/2021,606.44,"34,558,088.00"
21/05/2021,580.88,"26,030,596.00"
20/05/2021,586.78,"30,821,120.00"
19/05/2021,563.46,"39,578,396.00"
18/05/2021,577.87,"36,830,568.00"
17/05/2021,576.83,"32,390,360.00"
14/05/2021,589.74,"33,370,856.00"
13/05/2021,571.69,"44,184,916.00"
12/05/2021,589.89,"33,823,648.00"
11/05/2021,617.2,"46,503,896.00"
10/05/2021,629.04,"31,392,416.00"
7/05/2021,672.37,"23,469,172.00"
6/05/2021,663.54,"27,784,620.00"
5/05/2021,670.94,"21,901,894.00"
4/05/2021,673.6,"29,739,320.00"
3/05/2021,684.9,"27,043,144.00"
30/04/2021,709.44,"40,758,720.00"
29/04/2021,677,"28,845,448.00"
28/04/2021,694.4,"22,271,048.00"
27/04/2021,704.74,"29,436,996.00"
26/04/2021,738.2,"31,038,502.00"
23/04/2021,729.4,"28,413,888.00"
22/04/2021,719.69,"35,590,256.00"
21/04/2021,744.12,"31,215,514.00"
20/04/2021,718.99,"35,609,040.00"
19/04/2021,714.63,"39,686,224.00"
16/04/2021,739.78,"27,979,526.00"
15/04/2021,738.85,"27,848,900.00"
14/04/2021,732.23,"49,017,432.00"
13/04/2021,762.32,"44,652,808.00"
12/04/2021,701.98,"29,135,670.00"
9/04/2021,677.02,"21,437,088.00"
8/04/2021,683.8,"23,924,328.00"
7/04/2021,670.97,"26,309,432.00"
6/04/2021,691.62,"28,271,840.00"
5/04/2021,691.05,"41,842,768.00"
1/04/2021,661.75,"35,298,376.00"
31/03/2021,667.93,"33,337,288.00"
30/03/2021,635.62,"39,432,360.00"
29/03/2021,611.29,"28,636,984.00"
26/03/2021,618.71,"33,852,828.00"
25/03/2021,640.39,"39,224,848.00"
24/03/2021,630.27,"33,795,176.00"
23/03/2021,662.16,"30,491,870.00"
22/03/2021,670,"39,512,220.00"
19/03/2021,654.87,"42,893,976.00"
18/03/2021,653.16,"33,369,022.00"
17/03/2021,701.81,"40,372,452.00"
16/03/2021,676.88,"32,195,672.00"
15/03/2021,707.94,"29,423,480.00"
12/03/2021,693.73,"33,583,840.00"
11/03/2021,699.6,"36,253,892.00"
10/03/2021,668.06,"60,605,672.00"
9/03/2021,673.58,"67,523,328.00"
8/03/2021,563,"51,786,960.00"
5/03/2021,597.95,"89,396,456.00"
4/03/2021,621.44,"65,919,528.00"
3/03/2021,653.2,"30,207,960.00"
2/03/2021,686.44,"23,732,158.00"
1/03/2021,718.43,"27,136,240.00"
26/02/2021,675.5,"41,089,172.00"
25/02/2021,682.22,"39,023,856.00"
24/02/2021,742.02,"36,766,952.00"
23/02/2021,698.84,"66,606,880.00"
22/02/2021,714.5,"37,269,716.00"
19/02/2021,781.3,"18,958,256.00"
18/02/2021,787.38,"17,957,058.00"
17/02/2021,798.15,"26,078,898.00"
16/02/2021,796.22,"19,802,324.00"
12/02/2021,816.12,"23,768,312.00"
11/02/2021,811.66,"21,622,752.00"
